lr,,,pH,P,exch_Al,exch_Ca+Mg,
0.5,70,20,4.47,4.5,1.18,0.65,
0.5,70,40,4.33,1.6,1.14,0.45,
0.5,340,20,4.57,22.2,1.14,0.64,
0.5,340,40,4.33,2.8,1.07,0.52,
0.5,600,20,4.67,31.8,1.1,0.7,
0.5,600,40,4.30,4,1.05,0.53,
1.5,70,20,4.77,6.3,0.8,1.1,
1.5,70,40,4.50,2.3,0.94,0.72,
1.5,340,20,4.77,25.3,0.72,1.23,
1.5,340,40,4.57,3,0.99,0.77,
1.5,600,20,4.83,36.5,0.75,1.41,
1.5,600,40,4.50,5.2,0.99,0.68,
4,70,20,5.37,6.2,0.15,2.79,
4,70,40,4.80,2,0.78,0.99,
4,340,20,5.33,27.2,0.17,3.26,
4,340,40,4.80,4.4,0.75,1.13,
4,600,20,5.47,38.4,0.12,3.4,
4,600,40,4.77,6.3,0.69,1.29,
